gene_id,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
RPL24,1.13E-35,0.518413653,0.967,0.876,2.09E-31,0,RPL24
CD74,1.36E-35,-2.870675794,0.135,0.434,2.50E-31,0,CD74
ATP5MC1,1.42E-35,0.576735452,0.834,0.559,2.62E-31,0,ATP5MC1
HLA-A,1.71E-35,-1.220925595,0.538,0.739,3.16E-31,0,HLA-A
RPL15,2.15E-35,0.476376157,0.992,0.969,3.97E-31,0,RPL15
RPS24,2.29E-35,0.521963747,0.985,0.916,4.22E-31,0,RPS24
PSMB5,2.35E-35,0.555540793,0.895,0.668,4.33E-31,0,PSMB5
RPL27,3.93E-35,0.485875154,0.98,0.924,7.23E-31,0,RPL27
SOX2,5.24E-35,0.626458702,0.796,0.465,9.65E-31,0,SOX2
SSB,6.34E-35,0.470488388,0.967,0.789,1.17E-30,0,SSB
SRGN,7.59E-35,-1.485155729,0.074,0.382,1.40E-30,0,SRGN
RPL30,9.17E-35,0.493342606,0.99,0.957,1.69E-30,0,RPL30
TMSB10,1.20E-34,-1.178245249,0.87,0.919,2.21E-30,0,TMSB10
RPS13,1.41E-34,0.493299953,0.992,0.945,2.59E-30,0,RPS13
SINHCAF,1.42E-34,0.465324413,0.696,0.384,2.62E-30,0,SINHCAF
TXNDC17,2.83E-34,0.588562476,0.888,0.674,5.20E-30,0,TXNDC17
LAMB3,3.38E-34,0.531819435,0.564,0.272,6.22E-30,0,LAMB3
IMPACT,3.81E-34,0.539661906,0.783,0.476,7.02E-30,0,IMPACT
SNRPD1,3.99E-34,0.472836512,0.949,0.681,7.35E-30,0,SNRPD1
RPLP2,4.10E-34,0.469169154,0.992,0.992,7.55E-30,0,RPLP2
RPL23A,4.18E-34,0.516080334,0.934,0.787,7.69E-30,0,RPL23A
STOML2,4.40E-34,0.510832072,0.86,0.564,8.10E-30,0,STOML2
AL450405.1,5.39E-34,0.521444016,0.857,0.609,9.93E-30,0,AL450405.1
RPL10A,6.96E-34,0.543830539,0.901,0.708,1.28E-29,0,RPL10A
NACA,1.03E-33,0.466676421,0.977,0.877,1.90E-29,0,NACA
RPL8,1.93E-33,0.454355467,0.995,0.955,3.55E-29,0,RPL8
SLC9A3R1,1.94E-33,0.51325858,0.88,0.563,3.57E-29,0,SLC9A3R1
CD63,4.18E-33,-0.993498414,0.536,0.746,7.69E-29,0,CD63
ACTB,4.54E-33,-0.908446472,0.918,0.95,8.37E-29,0,ACTB
GAPDH,1.31E-32,0.449281337,1,0.987,2.40E-28,0,GAPDH
SLC3A2,1.68E-32,0.538255839,0.824,0.568,3.10E-28,0,SLC3A2
RPL18A,1.82E-32,0.48482627,0.99,0.911,3.34E-28,0,RPL18A
RPL37A,2.04E-32,0.467662449,0.992,0.949,3.75E-28,0,RPL37A
RPL9,4.50E-32,0.486334223,0.977,0.903,8.29E-28,0,RPL9
NDUFB9,7.72E-32,0.531312161,0.901,0.669,1.42E-27,0,NDUFB9
RPS14,1.01E-31,0.451157094,0.98,0.97,1.87E-27,0,RPS14
PTHLH,1.10E-31,0.709601568,0.691,0.406,2.02E-27,0,PTHLH
RPL4,2.42E-31,0.537387196,0.878,0.701,4.47E-27,0,RPL4
TOMM20,4.01E-31,0.517880611,0.875,0.659,7.39E-27,0,TOMM20
RPL14,4.03E-31,0.49164059,0.985,0.937,7.43E-27,0,RPL14
KLF6,4.41E-31,-1.203675248,0.199,0.478,8.13E-27,0,KLF6
AKR1B10,4.82E-31,0.506590975,0.709,0.398,8.87E-27,0,AKR1B10
RGS1,1.07E-30,-1.64095098,0.077,0.355,1.97E-26,0,RGS1
NEFL,1.60E-30,0.550543495,0.61,0.306,2.95E-26,0,NEFL
NQO1,1.96E-30,0.508232825,0.77,0.457,3.61E-26,0,NQO1
RPS8,2.49E-30,0.44916857,0.982,0.921,4.58E-26,0,RPS8
LGALS1,2.88E-30,-1.95241409,0.255,0.504,5.31E-26,0,LGALS1
COX6C,2.93E-30,0.486883516,0.934,0.796,5.40E-26,0,COX6C
PABPC1,3.03E-30,0.410156133,0.992,0.997,5.58E-26,0,PABPC1
KCNE3,3.35E-30,0.51622113,0.638,0.346,6.17E-26,0,KCNE3
RSL1D1,5.08E-30,0.539569044,0.893,0.722,9.37E-26,0,RSL1D1
RPS15A,6.58E-30,0.531031644,0.931,0.766,1.21E-25,0,RPS15A
HLA-DRB1,8.31E-30,-2.369665546,0.084,0.353,1.53E-25,0,HLA-DRB1
GSTA4,8.31E-30,0.477065903,0.615,0.32,1.53E-25,0,GSTA4
BCL11A,1.17E-29,0.465951072,0.658,0.365,2.16E-25,0,BCL11A
SET,1.28E-29,0.47504561,0.946,0.787,2.37E-25,0,SET
HLA-DPB1,1.51E-29,-1.346276629,0.015,0.277,2.78E-25,0,HLA-DPB1
PDCD5,1.59E-29,0.475178298,0.832,0.574,2.93E-25,0,PDCD5
IFITM2,1.62E-29,-1.03367561,0.11,0.393,2.99E-25,0,IFITM2
PEBP1,1.75E-29,0.489004821,0.923,0.716,3.23E-25,0,PEBP1
SESN3,3.86E-29,0.532884725,0.661,0.381,7.12E-25,0,SESN3
PRSS21,5.76E-29,0.378245828,0.513,0.243,1.06E-24,0,PRSS21
COX7C,7.14E-29,0.428360812,0.967,0.908,1.32E-24,0,COX7C
PRPF4,7.79E-29,0.616381758,0.791,0.535,1.44E-24,0,PRPF4
CABYR,1.17E-28,0.519385203,0.551,0.286,2.15E-24,0,CABYR
RPL36,1.36E-28,0.435653286,0.987,0.942,2.50E-24,0,RPL36
GAS5,1.64E-28,0.57661177,0.724,0.481,3.02E-24,0,GAS5
CNTN5,2.44E-28,0.531958648,0.492,0.24,4.50E-24,0,CNTN5
NDUFA1,2.63E-28,0.456662395,0.941,0.79,4.84E-24,0,NDUFA1
TUBA1B,2.73E-28,-0.994199103,0.52,0.708,5.02E-24,0,TUBA1B
CYBA,4.55E-28,-0.932256175,0.094,0.359,8.38E-24,0,CYBA
RAB31,5.29E-28,-0.773228931,0.038,0.297,9.75E-24,0,RAB31
DAB2,1.10E-27,-0.807329822,0.01,0.257,2.02E-23,0,DAB2
HLA-DPA1,1.18E-27,-1.39705585,0.038,0.291,2.18E-23,0,HLA-DPA1
S100A16,2.01E-27,0.45752847,0.778,0.499,3.71E-23,0,S100A16
ARHGDIB,2.72E-27,-0.667514835,0.064,0.322,5.00E-23,0,ARHGDIB
COA6,3.89E-27,0.496537691,0.768,0.496,7.16E-23,0,COA6
LAPTM5,4.44E-27,-1.374273612,0.059,0.311,8.18E-23,0,LAPTM5
KRT15,5.21E-27,0.585333701,0.533,0.282,9.59E-23,0,KRT15
RPL13A,7.64E-27,0.43546064,0.995,0.968,1.41E-22,0,RPL13A
EFNA1,8.47E-27,0.417527101,0.63,0.352,1.56E-22,0,EFNA1
RPL34,1.11E-26,0.396528455,0.98,0.962,2.05E-22,0,RPL34
MT-ND4,1.39E-26,0.464204123,0.992,0.987,2.56E-22,0,MT-ND4
TPRG1,1.59E-26,0.338144888,0.423,0.188,2.93E-22,0,TPRG1
SAT1,2.44E-26,-1.53824833,0.531,0.693,4.49E-22,0,SAT1
SH3KBP1,4.20E-26,-0.555052321,0.043,0.292,7.74E-22,0,SH3KBP1
PTPRC,4.21E-26,-0.778137579,0.043,0.288,7.75E-22,0,PTPRC
THSD7A,5.12E-26,0.460299992,0.569,0.307,9.44E-22,0,THSD7A
MT-ND4L,5.41E-26,0.626967629,0.964,0.937,9.97E-22,0,MT-ND4L
AHCY,6.65E-26,0.407288235,0.656,0.39,1.22E-21,0,AHCY
MYC,8.32E-26,0.419595096,0.464,0.228,1.53E-21,0,MYC
SLC25A5,9.60E-26,0.456739136,0.89,0.681,1.77E-21,0,SLC25A5
SH3BGRL,1.27E-25,-0.567272248,0.038,0.281,2.35E-21,0,SH3BGRL
FXYD5,1.78E-25,-0.504713321,0.036,0.277,3.28E-21,0,FXYD5
XAF1,2.20E-25,-0.686751645,0.054,0.297,4.05E-21,0,XAF1
MT-CO2,2.26E-25,0.461176991,0.992,0.986,4.16E-21,0,MT-CO2
MAGEA11,2.57E-25,0.351469145,0.495,0.246,4.73E-21,0,MAGEA11
CPNE1,3.17E-25,0.42019701,0.758,0.495,5.85E-21,0,CPNE1
PRMT5,3.48E-25,0.389934373,0.62,0.356,6.41E-21,0,PRMT5
MT-ATP8,5.21E-25,0.504806467,0.977,0.952,9.60E-21,0,MT-ATP8
CLCA2,5.75E-25,0.336788752,0.452,0.212,1.06E-20,0,CLCA2
FGFBP1,5.88E-25,0.435741456,0.633,0.347,1.08E-20,0,FGFBP1
COX5A,9.11E-25,0.427041739,0.898,0.731,1.68E-20,0,COX5A
RPL26,9.26E-25,0.438989624,0.842,0.635,1.71E-20,0,RPL26
BST2,1.18E-24,-0.490642257,0.023,0.256,2.18E-20,0,BST2
EGFR,1.73E-24,0.430499531,0.796,0.503,3.18E-20,0,EGFR
COA3,1.81E-24,0.395190061,0.676,0.426,3.34E-20,0,COA3
NPM1,2.05E-24,0.414150635,0.941,0.782,3.77E-20,0,NPM1
FCER1G,2.58E-24,-1.599700921,0.066,0.298,4.76E-20,0,FCER1G
RPAIN,2.60E-24,0.39367355,0.686,0.416,4.79E-20,0,RPAIN
KRT18,2.69E-24,0.371405251,0.778,0.488,4.96E-20,0,KRT18
GADD45B,2.84E-24,-1.080371019,0.301,0.526,5.23E-20,0,GADD45B
EPSTI1,3.31E-24,-0.592669569,0.018,0.242,6.10E-20,0,EPSTI1
GAST,3.60E-24,0.467757748,0.541,0.293,6.64E-20,0,GAST
VAMP5,4.45E-24,-0.578391015,0.013,0.234,8.19E-20,0,VAMP5
DSG2,4.79E-24,0.340040662,0.605,0.325,8.82E-20,0,DSG2
RPS25,7.95E-24,0.40835389,0.913,0.791,1.46E-19,0,RPS25
NDUFB6,9.37E-24,0.406780219,0.827,0.581,1.73E-19,0,NDUFB6
TMEM176B,1.07E-23,-0.810146722,0.015,0.234,1.97E-19,0,TMEM176B
CCL4,1.08E-23,-2.394687788,0.061,0.29,1.98E-19,0,CCL4
METTL5,1.17E-23,0.3630683,0.681,0.416,2.15E-19,0,METTL5
A2M,1.36E-23,-1.222772405,0.036,0.26,2.50E-19,0,A2M
SCN9A,1.58E-23,0.316559404,0.385,0.172,2.91E-19,0,SCN9A
RNASE1,1.59E-23,-1.74593277,0.059,0.289,2.93E-19,0,RNASE1
HSPA1A,1.77E-23,-1.022292101,0.332,0.551,3.26E-19,0,HSPA1A
TP63,1.86E-23,0.293858885,0.383,0.169,3.43E-19,0,TP63
GCLC,1.93E-23,0.412101129,0.61,0.354,3.56E-19,0,GCLC
CHCHD2,2.03E-23,0.404680438,0.964,0.874,3.75E-19,0,CHCHD2
DNPH1,2.12E-23,0.404749144,0.653,0.395,3.90E-19,0,DNPH1
LIM2,2.13E-23,0.403972001,0.439,0.215,3.92E-19,0,LIM2
PINLYP,2.46E-23,0.264273647,0.304,0.118,4.54E-19,0,PINLYP
DDX18,3.01E-23,0.433933418,0.867,0.676,5.54E-19,0,DDX18
TXNIP,3.27E-23,-0.914884125,0.194,0.425,6.02E-19,0,TXNIP
ABCC5,3.60E-23,0.33382955,0.406,0.19,6.63E-19,0,ABCC5
S100A4,4.95E-23,-1.20455748,0.214,0.438,9.12E-19,0,S100A4
COX6A1,5.53E-23,0.415701644,0.883,0.71,1.02E-18,0,COX6A1
LITAF,6.49E-23,-0.703319524,0.117,0.354,1.20E-18,0,LITAF
TMEM14A,6.82E-23,0.407175033,0.778,0.484,1.26E-18,0,TMEM14A
ICAM1,9.15E-23,-0.540556666,0.023,0.239,1.68E-18,0,ICAM1
KLF5,1.17E-22,0.336077989,0.862,0.545,2.16E-18,0,KLF5
RPL21,1.25E-22,0.368526186,0.997,0.993,2.31E-18,0,RPL21
NEDD8,1.27E-22,0.450752744,0.888,0.741,2.35E-18,0,NEDD8
RPL3,1.81E-22,0.429744025,0.952,0.845,3.34E-18,0,RPL3
CCL3,2.18E-22,-2.395383296,0.071,0.289,4.01E-18,0,CCL3
ITGB2,2.52E-22,-0.622216665,0.018,0.228,4.64E-18,0,ITGB2
MYL6,2.86E-22,-0.608989647,0.735,0.835,5.27E-18,0,MYL6
UQCRB,3.06E-22,0.377809268,0.941,0.868,5.63E-18,0,UQCRB
FYB1,3.17E-22,-0.629873034,0.033,0.249,5.84E-18,0,FYB1
HLA-DQB1,3.40E-22,-0.948904831,0.038,0.252,6.26E-18,0,HLA-DQB1
MS4A7,3.44E-22,-0.963098644,0.01,0.215,6.33E-18,0,MS4A7
PAPOLG,3.48E-22,0.391299521,0.722,0.466,6.42E-18,0,PAPOLG
CFAP36,3.56E-22,0.356364938,0.648,0.393,6.55E-18,0,CFAP36
ATP5F1B,4.23E-22,0.392518274,0.847,0.637,7.79E-18,0,ATP5F1B
RPS23,5.93E-22,0.378138028,0.98,0.907,1.09E-17,0,RPS23
PSMB6,6.00E-22,0.390412853,0.926,0.79,1.11E-17,0,PSMB6
LMAN1,6.34E-22,0.41806456,0.862,0.701,1.17E-17,0,LMAN1
NTRK2,8.80E-22,0.417885117,0.5,0.265,1.62E-17,0,NTRK2
HLA-DRA,9.71E-22,-2.481854631,0.145,0.358,1.79E-17,0,HLA-DRA
AIF1,1.06E-21,-1.410274978,0.059,0.271,1.95E-17,0,AIF1
ADH7,1.36E-21,0.265269494,0.393,0.181,2.50E-17,0,ADH7
SERPING1,1.47E-21,-0.78890298,0.041,0.252,2.71E-17,0,SERPING1
MT-ND2,1.58E-21,0.475598987,0.982,0.977,2.90E-17,0,MT-ND2
MEF2C,1.82E-21,-0.560228826,0.013,0.214,3.35E-17,0,MEF2C
GBP6,1.94E-21,0.281007773,0.418,0.196,3.57E-17,0,GBP6
CCL3L1,2.08E-21,-2.728348779,0.089,0.305,3.84E-17,0,CCL3L1
CTSZ,2.13E-21,-0.753849303,0.059,0.274,3.92E-17,0,CTSZ
C1orf162,2.65E-21,-0.564793008,0.003,0.196,4.88E-17,0,C1orf162
NDUFAB1,2.78E-21,0.395222431,0.768,0.535,5.11E-17,0,NDUFAB1
DNAJC15,2.81E-21,-0.381271212,0.013,0.213,5.17E-17,0,DNAJC15
RPL13,3.16E-21,0.367156178,0.992,0.97,5.83E-17,0,RPL13
TYROBP,3.40E-21,-2.208504973,0.11,0.32,6.26E-17,0,TYROBP
CD9,4.35E-21,0.399282611,0.781,0.552,8.02E-17,0,CD9
EIF2S2,4.65E-21,0.401226214,0.977,0.89,8.57E-17,0,EIF2S2
TPM4,4.83E-21,-0.771225521,0.673,0.803,8.90E-17,0,TPM4
HCST,5.54E-21,-0.710522423,0.033,0.237,1.02E-16,0,HCST
TNFSF13B,5.74E-21,-0.635099359,0.015,0.214,1.06E-16,0,TNFSF13B
NPM3,7.42E-21,0.32066875,0.467,0.247,1.37E-16,0,NPM3
HSPD1,7.56E-21,0.365559569,0.903,0.723,1.39E-16,0,HSPD1
TNFAIP3,9.24E-21,-0.529021507,0.015,0.212,1.70E-16,0,TNFAIP3
FCGR2A,9.74E-21,-0.621961292,0.013,0.208,1.79E-16,0,FCGR2A
HLA-DMA,9.90E-21,-0.460872722,0.005,0.196,1.82E-16,0,HLA-DMA
PLEK,1.02E-20,-0.725727295,0.026,0.226,1.87E-16,0,PLEK
MARCKS,1.58E-20,-0.791752144,0.273,0.481,2.90E-16,0,MARCKS
APOC1,1.79E-20,-1.580977586,0.033,0.231,3.30E-16,0,APOC1
CD14,1.91E-20,-1.212192555,0.031,0.228,3.51E-16,0,CD14
DENR,2.21E-20,0.405951294,0.821,0.621,4.08E-16,0,DENR
RPL10,2.28E-20,0.32045464,0.98,0.961,4.19E-16,0,RPL10
IL1RN,2.28E-20,-1.371305278,0.038,0.239,4.21E-16,0,IL1RN
MGST1,2.32E-20,0.36654961,0.633,0.383,4.28E-16,0,MGST1
LCP1,3.00E-20,-0.443087648,0.013,0.204,5.52E-16,0,LCP1
CXCL2,3.27E-20,-1.219027531,0.026,0.22,6.02E-16,0,CXCL2
FCGR3A,3.75E-20,-0.790016335,0.02,0.213,6.90E-16,0,FCGR3A
TCEAL4,3.87E-20,0.400545425,0.842,0.65,7.12E-16,0,TCEAL4
COMMD1,4.44E-20,0.347377889,0.689,0.443,8.19E-16,0,COMMD1
LAMTOR4,4.70E-20,0.441202631,0.758,0.56,8.67E-16,0,LAMTOR4
ELOB,5.75E-20,0.40032027,0.949,0.873,1.06E-15,0,ELOB
YDJC,6.19E-20,0.364319294,0.569,0.341,1.14E-15,0,YDJC
ARHGAP18,6.75E-20,-0.47178323,0.031,0.228,1.24E-15,0,ARHGAP18
CD86,7.09E-20,-0.537814331,0.015,0.204,1.31E-15,0,CD86
TYMP,7.50E-20,-0.695324276,0.156,0.373,1.38E-15,0,TYMP
DIAPH2,8.08E-20,0.400502186,0.61,0.384,1.49E-15,0,DIAPH2
MT2A,8.24E-20,-0.889784536,0.064,0.27,1.52E-15,0,MT2A
FAM200B,8.29E-20,0.338159359,0.628,0.386,1.53E-15,0,FAM200B
CMSS1,9.50E-20,0.325096535,0.569,0.329,1.75E-15,0,CMSS1
CST3,1.08E-19,-1.124430392,0.635,0.73,1.99E-15,0,CST3
TNFRSF1B,1.09E-19,-0.422731824,0.013,0.199,2.00E-15,0,TNFRSF1B
DUSP1,1.19E-19,-0.989574364,0.413,0.591,2.20E-15,0,DUSP1
TSPO,1.25E-19,-0.515717086,0.115,0.33,2.31E-15,0,TSPO
CTSD,1.35E-19,-1.517399075,0.281,0.469,2.49E-15,0,CTSD
LGMN,1.58E-19,-0.631065771,0.033,0.226,2.92E-15,0,LGMN
S100A9,1.78E-19,-2.684507551,0.324,0.523,3.28E-15,0,S100A9
CMTM3,2.25E-19,-0.447214684,0.054,0.254,4.15E-15,0,CMTM3
PFN2,2.79E-19,0.375563268,0.538,0.321,5.14E-15,0,PFN2
BCL2A1,2.93E-19,-0.793476542,0.036,0.229,5.41E-15,0,BCL2A1
GLUL,3.40E-19,-0.841314251,0.171,0.377,6.26E-15,0,GLUL
HTATIP2,3.47E-19,0.315415681,0.485,0.268,6.39E-15,0,HTATIP2
ATP5F1A,3.49E-19,0.356700923,0.763,0.528,6.43E-15,0,ATP5F1A
UQCRH,3.64E-19,0.35507946,0.895,0.743,6.70E-15,0,UQCRH
PRDX2,3.73E-19,0.386650835,0.834,0.636,6.88E-15,0,PRDX2
PNPT1,3.92E-19,0.308065834,0.541,0.309,7.22E-15,0,PNPT1
SOX15,4.31E-19,0.31320101,0.554,0.32,7.95E-15,0,SOX15
TMEM176A,4.89E-19,-0.496005883,0.005,0.182,9.00E-15,0,TMEM176A
UPP1,5.46E-19,-0.710647026,0.14,0.354,1.01E-14,0,UPP1
SAMSN1,5.54E-19,-0.464428293,0.013,0.194,1.02E-14,0,SAMSN1
RPS15,7.48E-19,0.30463322,0.987,0.971,1.38E-14,0,RPS15
EMP3,7.49E-19,-0.633312779,0.14,0.35,1.38E-14,0,EMP3
PLAUR,9.07E-19,-0.594067179,0.036,0.225,1.67E-14,0,PLAUR
MRPS21,9.09E-19,0.404947289,0.804,0.626,1.67E-14,0,MRPS21
AC116533.1,9.19E-19,0.275618463,0.372,0.181,1.69E-14,0,AC116533.1
TUFM,9.66E-19,0.383111743,0.643,0.449,1.78E-14,0,TUFM
GSTM4,1.04E-18,0.305908964,0.446,0.237,1.91E-14,0,GSTM4
ATP5PD,1.35E-18,0.372559496,0.921,0.798,2.49E-14,0,ATP5PD
C15orf48,1.45E-18,-0.75607328,0.046,0.237,2.67E-14,0,C15orf48
RPS6,1.51E-18,0.396365223,0.967,0.929,2.78E-14,0,RPS6
HLA-DMB,1.55E-18,-0.632267934,0.018,0.196,2.85E-14,0,HLA-DMB
SNRPE,1.57E-18,0.369187551,0.778,0.582,2.90E-14,0,SNRPE
RPS2,1.83E-18,0.35322611,0.995,0.968,3.38E-14,0,RPS2
CDK5RAP2,1.91E-18,0.412866971,0.556,0.343,3.53E-14,0,CDK5RAP2
C1QA,2.09E-18,-1.698080629,0.054,0.24,3.86E-14,0,C1QA
HLA-DQA1,2.18E-18,-0.559084676,0.003,0.172,4.02E-14,0,HLA-DQA1
C5AR1,2.94E-18,-0.510275796,0.01,0.183,5.42E-14,0,C5AR1
C1QC,2.97E-18,-1.195259491,0.026,0.204,5.48E-14,0,C1QC
S100A11,3.14E-18,0.340780102,0.992,0.962,5.78E-14,0,S100A11
AC087623.3,3.17E-18,0.290142726,0.268,0.112,5.84E-14,0,AC087623.3
KRTCAP3,3.82E-18,0.256848621,0.344,0.164,7.04E-14,0,KRTCAP3
ID1,4.29E-18,0.279203468,0.704,0.445,7.90E-14,0,ID1
MS4A4A,4.49E-18,-0.494203491,0,0.165,8.28E-14,0,MS4A4A
CYTOR,5.29E-18,-0.55330553,0.031,0.213,9.75E-14,0,CYTOR
AFG3L2,5.32E-18,0.371007215,0.781,0.569,9.80E-14,0,AFG3L2
CSTA,6.02E-18,-0.28932841,0.901,0.637,1.11E-13,0,CSTA
MSR1,6.58E-18,-0.607346741,0.013,0.184,1.21E-13,0,MSR1
EAPP,6.63E-18,0.38066986,0.735,0.513,1.22E-13,0,EAPP
CTSL,6.69E-18,-0.755794633,0.046,0.231,1.23E-13,0,CTSL
RPSA,6.85E-18,0.389675517,0.811,0.664,1.26E-13,0,RPSA
MSN,7.94E-18,-0.388499078,0.048,0.236,1.46E-13,0,MSN
CDIPT,8.52E-18,0.332492149,0.577,0.361,1.57E-13,0,CDIPT
HSP90AB1,9.45E-18,0.345908835,0.992,0.99,1.74E-13,0,HSP90AB1
ZFP36L1,9.47E-18,-0.664903624,0.347,0.532,1.74E-13,0,ZFP36L1
